"","TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"1","IRF1",1,1,1,1,1,1,6,1
"2","BCL6",1,1,0,1,1,1,5,2
"3","IRF2",1,1,1,1,0,1,5,2
"4","IRF4",1,0,1,1,1,1,5,2
"5","JUN",1,1,0,1,1,1,5,2
"6","JUND",1,1,0,1,1,1,5,2
"7","NFKB1",1,1,0,1,1,1,5,2
"8","RELA",1,1,0,1,1,1,5,2
"9","RUNX1",1,1,1,0,1,1,5,2
"10","SPI1",0,1,1,1,1,1,5,2
"11","STAT3",1,1,0,1,1,1,5,2
"12","TFAP2A",1,1,0,1,1,1,5,2
"13","ZNF467",1,1,1,0,1,1,5,2
"14","ATF2",1,1,0,0,1,1,4,3
"15","ATF3",1,0,1,0,1,1,4,3
"16","CTCF",1,1,0,0,1,1,4,3
"17","CTCFL",1,1,1,1,0,0,4,3
"18","EGR3",0,0,1,1,1,1,4,3
"19","FOS",1,0,0,1,1,1,4,3
"20","FOXA2",0,1,1,0,1,1,4,3
"21","GATA1",1,1,0,0,1,1,4,3
"22","GATA3",1,1,0,0,1,1,4,3
"23","HOXB13",1,1,0,0,1,1,4,3
"24","HSF1",1,1,1,0,0,1,4,3
"25","IKZF1",1,0,0,1,1,1,4,3
"26","IRF8",1,1,1,1,0,0,4,3
"27","IRF9",1,0,1,1,0,1,4,3
"28","JUNB",0,0,1,1,1,1,4,3
"29","LHX2",0,1,0,1,1,1,4,3
"30","MEF2A",1,0,1,0,1,1,4,3
"31","PAX3",1,0,0,1,1,1,4,3
"32","POU5F1",1,1,0,0,1,1,4,3
"33","PRDM1",1,0,1,0,1,1,4,3
"34","STAT1",1,0,0,1,1,1,4,3
"35","STAT2",1,0,1,1,0,1,4,3
"36","STAT5A",1,0,0,1,1,1,4,3
"37","STAT5B",1,0,0,1,1,1,4,3
"38","TCF12",0,0,1,1,1,1,4,3
"39","TCF4",0,0,1,1,1,1,4,3
"40","TCF7L1",1,0,0,1,1,1,4,3
"41","TEAD1",0,1,0,1,1,1,4,3
"42","TEAD4",0,1,0,1,1,1,4,3
"43","TFAP2C",1,1,0,1,1,0,4,3
"44","ZNF263",1,0,1,0,1,1,4,3
"45","ASCL1",0,0,1,1,1,0,3,4
"46","ATF4",1,1,0,0,0,1,3,4
"47","BACH2",0,0,0,1,1,1,3,4
"48","BATF",0,0,0,1,1,1,3,4
"49","BATF3",1,0,0,1,1,0,3,4
"50","BCL11A",0,0,1,0,1,1,3,4
"51","CDX2",0,1,0,0,1,1,3,4
"52","CEBPA",0,0,0,1,1,1,3,4
"53","CEBPB",0,0,0,1,1,1,3,4
"54","E2F1",1,0,1,0,0,1,3,4
"55","E2F6",1,1,1,0,0,0,3,4
"56","EBF1",0,1,0,0,1,1,3,4
"57","ELF1",1,0,1,0,0,1,3,4
"58","ERG",1,0,0,0,1,1,3,4
"59","FLI1",0,0,1,0,1,1,3,4
"60","FOSB",1,0,1,1,0,0,3,4
"61","FOSL1",1,0,0,1,1,0,3,4
"62","FOSL2",0,0,0,1,1,1,3,4
"63","FOXH1",1,1,0,0,1,0,3,4
"64","FOXO1",0,0,1,0,1,1,3,4
"65","GATA4",0,1,0,0,1,1,3,4
"66","GATA6",1,0,0,0,1,1,3,4
"67","GLIS1",1,0,1,0,1,0,3,4
"68","HES2",0,0,1,0,1,1,3,4
"69","IRF5",1,0,1,1,0,0,3,4
"70","IRF7",1,0,1,1,0,0,3,4
"71","KLF1",0,0,1,1,0,1,3,4
"72","KLF12",1,0,1,1,0,0,3,4
"73","KLF5",0,0,1,1,0,1,3,4
"74","MAF",0,0,0,1,1,1,3,4
"75","MAFK",1,0,0,0,1,1,3,4
"76","MAX",0,0,1,0,1,1,3,4
"77","MAZ",0,0,1,1,1,0,3,4
"78","MEF2B",1,0,0,0,1,1,3,4
"79","MYF5",0,0,1,1,1,0,3,4
"80","MYOG",0,0,0,1,1,1,3,4
"81","NFATC1",0,1,0,1,0,1,3,4
"82","NFIC",0,0,0,1,1,1,3,4
"83","NFKB2",1,0,0,1,1,0,3,4
"84","NR2C2",1,1,0,1,0,0,3,4
"85","OTX2",0,1,0,0,1,1,3,4
"86","PAX6",1,0,0,0,1,1,3,4
"87","PHOX2A",1,1,0,1,0,0,3,4
"88","POU2F2",1,0,0,0,1,1,3,4
"89","RARA",0,1,1,0,0,1,3,4
"90","RXRG",1,0,0,0,1,1,3,4
"91","SIX2",0,0,0,1,1,1,3,4
"92","SMAD3",0,0,0,1,1,1,3,4
"93","SNAI2",0,0,1,0,1,1,3,4
"94","SOX2",0,1,0,0,1,1,3,4
"95","SP1",0,0,1,1,0,1,3,4
"96","SPIB",1,0,0,0,1,1,3,4
"97","SRF",1,1,0,0,1,0,3,4
"98","STAT4",1,0,0,1,1,0,3,4
"99","TBP",0,0,1,1,0,1,3,4
"100","TBX21",0,1,0,0,1,1,3,4
"101","TFAP4",0,1,0,1,0,1,3,4
"102","TLX1",0,0,0,1,1,1,3,4
"103","TP53",1,0,0,0,1,1,3,4
"104","TP73",0,0,1,0,1,1,3,4
"105","VSX2",1,0,1,1,0,0,3,4
"106","ZBTB6",0,0,1,0,1,1,3,4
"107","ZIM3",1,0,0,0,1,1,3,4
"108","ZNF100",1,0,1,0,1,0,3,4
"109","ZNF189",1,1,1,0,0,0,3,4
"110","ZNF317",0,0,0,1,1,1,3,4
"111","ZNF382",1,1,0,0,1,0,3,4
"112","ZNF384",0,0,1,0,1,1,3,4
"113","ZNF418",1,0,1,0,0,1,3,4
"114","AR",1,0,0,0,0,1,2,5
"115","ARGFX",1,0,0,1,0,0,2,5
"116","ASCL2",0,0,1,1,0,0,2,5
"117","ATF7",1,1,0,0,0,0,2,5
"118","ATOH1",1,1,0,0,0,0,2,5
"119","BHLHA15",1,0,0,1,0,0,2,5
"120","BHLHE22",1,0,0,1,0,0,2,5
"121","CEBPG",0,0,0,1,0,1,2,5
"122","CREB1",0,0,1,0,0,1,2,5
"123","CUX1",0,0,0,1,0,1,2,5
"124","DLX5",1,0,0,1,0,0,2,5
"125","DRGX",1,0,0,1,0,0,2,5
"126","E2F5",1,0,1,0,0,0,2,5
"127","E2F7",0,0,0,0,1,1,2,5
"128","EGR1",0,0,1,1,0,0,2,5
"129","EGR2",0,0,1,0,0,1,2,5
"130","EGR4",0,0,1,1,0,0,2,5
"131","EHF",1,0,0,0,1,0,2,5
"132","ELF3",0,0,0,0,1,1,2,5
"133","EOMES",0,0,0,0,1,1,2,5
"134","EPAS1",0,0,0,0,1,1,2,5
"135","ETV6",0,0,0,0,1,1,2,5
"136","FOXB1",1,0,1,0,0,0,2,5
"137","FOXC1",1,0,1,0,0,0,2,5
"138","FOXD2",1,0,1,0,0,0,2,5
"139","FOXE1",0,0,1,1,0,0,2,5
"140","FOXP1",0,0,0,0,1,1,2,5
"141","FOXP2",0,0,1,1,0,0,2,5
"142","FOXQ1",1,0,1,0,0,0,2,5
"143","FOXR2",1,0,1,0,0,0,2,5
"144","GATA2",0,0,0,0,1,1,2,5
"145","GSC",0,0,1,1,0,0,2,5
"146","HAND2",0,0,1,0,1,0,2,5
"147","HMG20A",0,0,0,0,1,1,2,5
"148","HNF1B",1,0,0,0,1,0,2,5
"149","HNF4A",0,1,0,0,0,1,2,5
"150","HOXA9",0,0,0,0,1,1,2,5
"151","HOXC11",1,0,0,0,0,1,2,5
"152","HOXC9",1,0,0,0,1,0,2,5
"153","HOXD9",1,0,1,0,0,0,2,5
"154","IRF3",1,0,0,1,0,0,2,5
"155","IRF6",1,0,0,1,0,0,2,5
"156","ISX",1,0,0,1,0,0,2,5
"157","JDP2",1,0,0,1,0,0,2,5
"158","KLF11",0,0,1,0,0,1,2,5
"159","KLF13",0,0,1,1,0,0,2,5
"160","KLF14",0,0,1,1,0,0,2,5
"161","KLF15",0,0,1,1,0,0,2,5
"162","KLF16",0,0,1,1,0,0,2,5
"163","KLF17",1,0,1,0,0,0,2,5
"164","KLF2",0,0,1,1,0,0,2,5
"165","KLF3",1,0,1,0,0,0,2,5
"166","KLF4",0,0,1,1,0,0,2,5
"167","KLF6",0,0,1,1,0,0,2,5
"168","KLF8",1,0,1,0,0,0,2,5
"169","KLF9",0,0,1,1,0,0,2,5
"170","KMT2A",0,0,0,0,1,1,2,5
"171","LMX1A",1,0,0,1,0,0,2,5
"172","LMX1B",1,0,0,1,0,0,2,5
"173","LYL1",0,0,0,0,1,1,2,5
"174","MEF2C",0,0,1,0,1,0,2,5
"175","MEF2D",0,1,1,0,0,0,2,5
"176","MEIS1",0,0,0,0,1,1,2,5
"177","MIXL1",1,0,0,1,0,0,2,5
"178","MYB",0,0,0,0,1,1,2,5
"179","MYNN",1,0,1,0,0,0,2,5
"180","MYOD1",0,0,0,0,1,1,2,5
"181","NANOG",0,0,0,0,1,1,2,5
"182","NEUROD1",0,1,0,0,1,0,2,5
"183","NEUROG2",0,0,0,0,1,1,2,5
"184","NFAT5",1,0,0,1,0,0,2,5
"185","NFE2",1,0,0,0,0,1,2,5
"186","NFE2L1",1,0,0,0,0,1,2,5
"187","NFIA",0,1,0,0,0,1,2,5
"188","NFYA",1,1,0,0,0,0,2,5
"189","NHLH1",0,0,1,1,0,0,2,5
"190","NKX2-1",0,0,0,0,1,1,2,5
"191","NR2F2",0,0,0,0,1,1,2,5
"192","NR3C1",0,0,0,0,1,1,2,5
"193","NR4A1",1,0,0,0,0,1,2,5
"194","NR4A2",1,0,0,0,0,1,2,5
"195","ONECUT2",1,0,0,1,0,0,2,5
"196","OSR2",0,0,1,0,1,0,2,5
"197","PATZ1",1,0,1,0,0,0,2,5
"198","PAX5",0,0,0,0,1,1,2,5
"199","PAX7",1,0,0,1,0,0,2,5
"200","PBX3",0,0,0,0,1,1,2,5
"201","PGR",0,0,0,0,1,1,2,5
"202","PHOX2B",1,0,0,0,1,0,2,5
"203","PITX3",0,0,1,0,1,0,2,5
"204","POU3F1",1,0,1,0,0,0,2,5
"205","POU3F2",1,1,0,0,0,0,2,5
"206","POU3F3",0,1,1,0,0,0,2,5
"207","POU6F1",1,0,0,1,0,0,2,5
"208","PPARG",0,0,0,0,1,1,2,5
"209","PRDM14",1,0,0,0,1,0,2,5
"210","PRDM6",0,0,1,0,0,1,2,5
"211","PROX1",0,0,0,0,1,1,2,5
"212","PRRX2",1,0,0,1,0,0,2,5
"213","PTF1A",1,0,0,1,0,0,2,5
"214","RELB",0,0,0,0,1,1,2,5
"215","RUNX3",0,0,0,0,1,1,2,5
"216","RXRA",0,0,0,0,1,1,2,5
"217","SMAD4",0,0,0,0,1,1,2,5
"218","SNAI1",0,0,1,1,0,0,2,5
"219","SNAI3",0,0,1,1,0,0,2,5
"220","SOX11",0,0,0,1,1,0,2,5
"221","SP140",0,0,0,0,1,1,2,5
"222","SP3",0,0,1,1,0,0,2,5
"223","SP4",0,0,1,1,0,0,2,5
"224","SP7",0,0,1,0,1,0,2,5
"225","SP8",0,0,1,1,0,0,2,5
"226","SP9",0,0,1,1,0,0,2,5
"227","T",0,1,0,0,0,1,2,5
"228","TAL1",0,0,0,0,1,1,2,5
"229","TBX5",0,0,1,0,1,0,2,5
"230","TCF21",0,0,0,0,1,1,2,5
"231","TCF3",1,0,1,0,0,0,2,5
"232","TCF7L2",0,0,0,0,1,1,2,5
"233","TCFL5",0,0,1,1,0,0,2,5
"234","TERF2",0,0,0,0,1,1,2,5
"235","TFAP2B",1,0,0,1,0,0,2,5
"236","TP63",0,0,0,0,1,1,2,5
"237","VDR",0,0,0,0,1,1,2,5
"238","WT1",0,0,0,1,1,0,2,5
"239","ZBTB12",0,0,0,1,0,1,2,5
"240","ZBTB14",0,0,1,1,0,0,2,5
"241","ZBTB42",0,0,1,0,1,0,2,5
"242","ZBTB7A",1,0,1,0,0,0,2,5
"243","ZEB1",0,0,1,0,0,1,2,5
"244","ZIC1",0,1,0,1,0,0,2,5
"245","ZNF17",0,0,1,0,0,1,2,5
"246","ZNF175",0,0,1,0,0,1,2,5
"247","ZNF180",1,0,1,0,0,0,2,5
"248","ZNF182",0,0,1,0,1,0,2,5
"249","ZNF22",0,0,1,0,1,0,2,5
"250","ZNF224",0,0,1,0,0,1,2,5
"251","ZNF267",1,0,1,0,0,0,2,5
"252","ZNF273",1,0,0,0,1,0,2,5
"253","ZNF28",1,0,0,0,1,0,2,5
"254","ZNF282",1,0,0,0,1,0,2,5
"255","ZNF311",1,0,1,0,0,0,2,5
"256","ZNF320",1,0,0,0,1,0,2,5
"257","ZNF33A",1,0,1,0,0,0,2,5
"258","ZNF341",0,0,1,0,1,0,2,5
"259","ZNF35",0,0,1,0,1,0,2,5
"260","ZNF41",1,0,0,0,0,1,2,5
"261","ZNF415",0,1,1,0,0,0,2,5
"262","ZNF429",0,0,1,0,0,1,2,5
"263","ZNF44",1,0,1,0,0,0,2,5
"264","ZNF468",0,0,1,0,1,0,2,5
"265","ZNF519",0,0,1,0,1,0,2,5
"266","ZNF524",1,0,1,0,0,0,2,5
"267","ZNF529",1,0,1,0,0,0,2,5
"268","ZNF534",1,0,0,0,1,0,2,5
"269","ZNF548",1,0,1,0,0,0,2,5
"270","ZNF554",0,0,1,0,1,0,2,5
"271","ZNF597",0,0,0,0,1,1,2,5
"272","ZNF615",1,0,0,0,0,1,2,5
"273","ZNF675",1,0,1,0,0,0,2,5
"274","ZNF71",1,0,1,0,0,0,2,5
"275","ZNF768",1,0,1,0,0,0,2,5
"276","ZNF770",0,0,1,0,1,0,2,5
"277","ZNF783",0,0,1,0,1,0,2,5
"278","ZNF792",0,0,1,0,0,1,2,5
"279","ZNF808",1,0,0,0,1,0,2,5
"280","ZNF816",1,0,1,0,0,0,2,5
"281","ZNF85",1,0,1,0,0,0,2,5
"282","ZNF93",1,0,1,0,0,0,2,5
"283","ZSCAN22",1,0,1,0,0,0,2,5
"284","A1JVI6_MOUSE",1,0,0,0,0,0,1,6
"285","ALX1",0,0,0,1,0,0,1,6
"286","ALX4",0,0,0,1,0,0,1,6
"287","ARID3A",0,0,0,1,0,0,1,6
"288","ARID3B",0,0,1,0,0,0,1,6
"289","ARID5A",0,0,1,0,0,0,1,6
"290","ARNT2",0,0,1,0,0,0,1,6
"291","ARNTL",0,0,1,0,0,0,1,6
"292","ARX",0,0,0,1,0,0,1,6
"293","ATF6",1,0,0,0,0,0,1,6
"294","BARX1",1,0,0,0,0,0,1,6
"295","BARX2",0,0,1,0,0,0,1,6
"296","BBX",1,0,0,0,0,0,1,6
"297","BHLHE40",0,0,1,0,0,0,1,6
"298","BHLHE41",0,0,1,0,0,0,1,6
"299","BORCS8-MEF2B",0,0,1,0,0,0,1,6
"300","BSX",0,0,0,1,0,0,1,6
"301","CDX1",1,0,0,0,0,0,1,6
"302","CDX4",1,0,0,0,0,0,1,6
"303","CEBPD",0,0,0,1,0,0,1,6
"304","CEBPE",0,0,0,1,0,0,1,6
"305","CENPB",1,0,0,0,0,0,1,6
"306","CLOCK",0,0,1,0,0,0,1,6
"307","CPEB1",0,0,1,0,0,0,1,6
"308","CREB3",1,0,0,0,0,0,1,6
"309","CREB3L4",1,0,0,0,0,0,1,6
"310","CREB5",1,0,0,0,0,0,1,6
"311","CREBZF",1,0,0,0,0,0,1,6
"312","CRX",1,0,0,0,0,0,1,6
"313","CUX2",0,0,0,1,0,0,1,6
"314","DBX1",0,0,1,0,0,0,1,6
"315","DDIT3",1,0,0,0,0,0,1,6
"316","DLX1",1,0,0,0,0,0,1,6
"317","DLX2",1,0,0,0,0,0,1,6
"318","DLX3",1,0,0,0,0,0,1,6
"319","DLX4",1,0,0,0,0,0,1,6
"320","DMBX1",0,0,1,0,0,0,1,6
"321","DMRT2",0,0,1,0,0,0,1,6
"322","DMRTC2",1,0,0,0,0,0,1,6
"323","DNMT1",0,0,0,0,0,1,1,6
"324","DPRX",1,0,0,0,0,0,1,6
"325","DUX4",0,0,0,0,1,0,1,6
"326","DUXA",1,0,0,0,0,0,1,6
"327","E2F4",0,0,1,0,0,0,1,6
"328","E2F8",1,0,0,0,0,0,1,6
"329","ELF2",1,0,0,0,0,0,1,6
"330","ELF5",0,0,0,1,0,0,1,6
"331","ELK4",0,1,0,0,0,0,1,6
"332","EMX2",0,0,0,1,0,0,1,6
"333","EN2",1,0,0,0,0,0,1,6
"334","ERF",1,0,0,0,0,0,1,6
"335","ESR1",0,0,0,0,0,1,1,6
"336","ESRRB",1,0,0,0,0,0,1,6
"337","ESX1",1,0,0,0,0,0,1,6
"338","ETS1",0,0,0,0,0,1,1,6
"339","ETV4",0,0,0,0,0,1,1,6
"340","ETV5",0,0,0,0,0,1,1,6
"341","FEZF1",0,0,0,0,1,0,1,6
"342","FIGLA",0,0,1,0,0,0,1,6
"343","FOXA1",0,0,0,0,0,1,1,6
"344","FOXB2",0,0,1,0,0,0,1,6
"345","FOXC2",0,0,1,0,0,0,1,6
"346","FOXF2",1,0,0,0,0,0,1,6
